sno,sort_order,event_type_mod,side,is_goal,assist_method,shot_outcome_mod,location_mod,Side1_Win,Side2_Win,Draw
1,15,0,2,0,0,0,2,0,0,1
1,16,4,1,0,0,0,6,0,0,1
1,17,0,1,0,0,0,2,0,0,1
1,18,3,2,0,0,0,6,0,0,1
1,19,0,1,0,0,0,1,0,0,1
1,20,3,1,0,0,0,6,0,0,1
1,21,3,2,0,0,0,6,0,0,1
1,22,0,2,0,0,0,1,0,0,1
1,23,1,2,0,1,2,3,0,0,1
1,24,0,2,0,0,0,6,0,0,1
1,25,0,1,0,0,0,1,0,0,1
1,26,3,2,0,0,0,6,0,0,1
1,27,1,1,0,0,2,15,0,0,1
1,28,3,1,0,0,0,6,0,0,1
1,29,0,2,0,0,0,1,0,0,1
1,30,0,1,0,0,0,2,0,0,1
1,31,1,2,0,1,1,15,0,0,1
1,32,3,2,0,0,0,6,0,0,1
1,33,0,1,0,0,0,6,0,0,1
1,34,0,1,0,0,0,2,0,0,1
1,35,3,2,0,0,0,6,0,0,1
1,36,0,1,0,0,0,2,0,0,1
1,37,3,2,0,0,0,6,0,0,1
1,38,1,1,0,1,1,3,0,0,1
1,39,0,1,0,0,0,1,0,0,1
1,40,1,1,0,2,1,13,0,0,1
1,41,3,2,0,0,0,6,0,0,1
1,42,0,1,0,0,0,1,0,0,1
1,43,3,2,0,0,0,6,0,0,1
1,44,4,2,0,0,0,6,0,0,1
1,45,0,1,0,0,0,2,0,0,1
1,46,3,2,0,0,0,6,0,0,1
1,47,0,1,0,0,0,1,0,0,1
1,48,3,2,0,0,0,6,0,0,1
1,49,3,1,0,0,0,6,0,0,1
1,50,1,1,0,0,2,15,0,0,1
1,51,0,2,0,0,0,2,0,0,1
1,52,0,1,0,0,0,6,0,0,1
1,53,1,1,0,1,2,15,0,0,1
1,54,3,1,0,0,0,6,0,0,1
1,55,0,2,0,0,0,1,0,0,1
1,56,1,2,0,0,1,15,0,0,1
1,57,0,1,0,0,0,2,0,0,1
1,58,0,2,0,0,0,6,0,0,1
1,59,3,2,0,0,0,6,0,0,1
1,60,3,1,0,0,0,6,0,0,1
1,61,0,2,0,0,0,1,0,0,1
1,62,1,2,0,1,1,6,0,0,1
1,63,0,1,0,0,0,2,0,0,1
1,64,7,1,0,0,0,6,0,0,1
1,65,3,2,0,0,0,6,0,0,1
1,66,1,2,1,1,1,15,0,1,0
1,67,3,1,0,0,0,6,0,1,0
1,68,0,2,0,0,0,2,0,1,0
1,69,0,1,0,0,0,1,0,1,0
1,70,3,2,0,0,0,6,0,1,0
1,71,0,1,0,0,0,2,0,1,0
1,72,3,2,0,0,0,6,0,1,0
1,73,0,1,0,0,0,6,0,1,0
1,74,1,1,1,2,1,3,0,0,1
1,75,1,2,1,2,1,3,0,1,0
1,76,0,2,0,0,0,6,0,1,0
1,77,1,2,0,1,1,15,0,1,0
1,78,0,1,0,0,0,1,0,1,0
1,79,3,1,0,0,0,6,0,1,0
1,80,3,2,0,0,0,6,0,1,0
1,81,0,2,0,0,0,2,0,1,0
1,82,3,2,0,0,0,6,0,1,0
1,83,4,2,0,0,0,6,0,1,0
1,84,0,1,0,0,0,6,0,1,0
1,85,1,1,0,2,1,3,0,1,0
1,86,7,1,0,0,0,6,0,1,0
1,87,0,1,0,0,0,1,0,1,0
1,88,3,2,0,0,0,6,0,1,0
1,89,1,2,0,1,2,15,0,1,0
1,90,0,1,0,0,0,1,0,1,0
1,91,0,1,0,0,0,1,0,1,0
1,92,3,2,0,0,0,6,0,1,0
1,93,3,2,0,0,0,6,0,1,0
1,94,0,1,0,0,0,1,0,1,0
1,95,1,1,0,2,1,3,0,1,0
1,96,3,2,0,0,0,6,0,1,0
1,97,7,1,0,0,0,6,0,1,0
1,98,3,1,0,0,0,6,0,1,0
1,99,0,2,0,0,0,1,0,1,0
1,100,3,1,0,0,0,6,0,1,0
1,101,0,2,0,0,0,2,0,1,0
1,102,1,1,1,2,1,3,0,0,1
1,103,0,1,0,0,0,1,0,0,1
1,104,3,2,0,0,0,6,0,0,1
1,105,7,2,0,0,0,6,0,0,1
1,106,3,1,0,0,0,6,0,0,1
1,107,0,1,0,0,0,6,0,0,1
1,108,0,2,0,0,0,2,0,0,1
1,109,4,2,0,0,0,6,0,0,1
1,110,3,1,0,0,0,6,0,0,1
1,111,0,2,0,0,0,1,0,0,1
1,112,0,2,0,0,0,6,0,0,1
1,113,7,2,0,0,0,6,0,0,1
1,114,0,2,0,0,0,2,0,0,1
1,115,3,1,0,0,0,6,0,0,1
1,116,0,1,0,0,0,6,0,0,1
1,117,0,1,0,0,0,2,0,0,1
1,118,1,1,0,3,1,15,0,0,1
1,119,0,2,0,0,0,1,0,0,1
1,120,1,2,0,1,1,6,0,0,1
1,121,3,2,0,0,0,6,0,0,1
1,122,4,2,0,0,0,6,0,0,1
2,1,0,1,0,0,0,2,0,0,1
2,2,3,2,0,0,0,6,0,0,1
2,3,0,1,0,0,0,2,0,0,1
2,4,3,2,0,0,0,6,0,0,1
2,5,0,1,0,0,0,2,0,0,1
2,6,3,2,0,0,0,6,0,0,1
2,7,1,1,0,4,1,3,0,0,1
2,8,0,2,0,0,0,6,0,0,1
2,9,3,1,0,0,0,6,0,0,1
2,10,3,1,0,0,0,6,0,0,1
2,11,0,2,0,0,0,1,0,0,1
2,12,0,2,0,0,0,1,0,0,1
2,13,0,1,0,0,0,1,0,0,1
2,14,0,1,0,0,0,6,0,0,1
2,15,1,1,0,0,1,13,0,0,1
2,16,3,2,0,0,0,6,0,0,1
2,17,0,2,0,0,0,6,0,0,1
2,18,0,1,0,0,0,2,0,0,1
2,19,3,2,0,0,0,6,0,0,1
2,20,0,2,0,0,0,6,0,0,1
2,21,0,2,0,0,0,6,0,0,1
2,22,0,2,0,0,0,6,0,0,1
2,23,0,1,0,0,0,1,0,0,1
2,24,3,2,0,0,0,6,0,0,1
2,25,0,1,0,0,0,1,0,0,1
2,26,3,2,0,0,0,6,0,0,1
2,27,4,2,0,0,0,6,0,0,1
2,28,0,1,0,0,0,1,0,0,1
2,29,3,1,0,0,0,6,0,0,1
2,30,3,2,0,0,0,6,0,0,1
2,31,0,2,0,0,0,2,0,0,1
2,32,0,2,0,0,0,2,0,0,1
2,33,0,2,0,0,0,1,0,0,1
2,34,0,2,0,0,0,6,0,0,1
2,35,1,1,0,1,1,15,0,0,1
2,36,0,1,0,0,0,6,0,0,1
2,37,0,1,0,0,0,1,0,0,1
2,38,0,1,0,0,0,1,0,0,1
2,39,3,2,0,0,0,6,0,0,1
2,40,3,2,0,0,0,6,0,0,1
2,41,0,1,0,0,0,2,0,0,1
2,42,3,2,0,0,0,6,0,0,1
2,43,0,2,0,0,0,6,0,0,1
2,44,1,1,0,1,1,3,0,0,1
2,45,0,1,0,0,0,1,0,0,1
2,46,3,2,0,0,0,6,0,0,1
2,47,0,1,0,0,0,1,0,0,1
2,48,3,2,0,0,0,6,0,0,1
2,49,0,1,0,0,0,6,0,0,1
2,50,1,2,0,1,1,15,0,0,1
2,51,3,1,0,0,0,6,0,0,1
2,52,0,2,0,0,0,2,0,0,1
2,53,0,1,0,0,0,2,0,0,1
2,54,0,1,0,0,0,6,0,0,1
2,55,3,2,0,0,0,6,0,0,1
2,56,1,1,0,1,2,15,0,0,1
2,57,3,1,0,0,0,6,0,0,1
2,58,0,2,0,0,0,1,0,0,1
2,59,0,1,0,0,0,6,0,0,1
2,60,0,1,0,0,0,1,0,0,1
2,61,1,1,0,0,2,15,0,0,1
2,62,7,1,0,0,0,6,0,0,1
2,63,3,2,0,0,0,6,0,0,1
2,64,7,2,0,0,0,6,0,0,1
2,65,0,1,0,0,0,2,0,0,1
2,66,3,2,0,0,0,6,0,0,1
2,67,1,1,0,1,1,3,0,0,1
2,68,0,1,0,0,0,6,0,0,1
2,69,1,1,0,2,2,13,0,0,1
2,70,0,1,0,0,0,6,0,0,1
2,71,0,2,0,0,0,6,0,0,1
2,72,1,2,0,2,1,3,0,0,1
2,73,1,2,0,1,2,15,0,0,1
2,74,3,1,0,0,0,6,0,0,1
2,75,0,2,0,0,0,1,0,0,1
2,76,0,1,0,0,0,6,0,0,1
2,77,0,1,0,0,0,2,0,0,1
2,78,3,2,0,0,0,6,0,0,1
2,79,1,2,0,2,1,3,0,0,1
2,80,0,2,0,0,0,6,0,0,1
2,81,0,1,0,0,0,1,0,0,1
2,82,1,1,0,1,1,3,0,0,1
2,83,0,1,0,0,0,2,0,0,1
2,84,3,2,0,0,0,6,0,0,1
2,85,7,1,0,0,0,6,0,0,1
2,86,1,1,1,0,1,13,1,0,0
2,87,1,1,0,1,1,15,1,0,0
2,88,0,1,0,0,0,2,1,0,0
2,89,3,2,0,0,0,6,1,0,0
2,90,0,1,0,0,0,1,1,0,0
2,91,3,2,0,0,0,6,1,0,0
2,92,7,2,0,0,0,6,1,0,0
2,93,3,1,0,0,0,6,1,0,0
2,94,0,2,0,0,0,1,1,0,0
2,95,1,1,0,3,1,15,1,0,0
2,96,1,1,0,0,1,15,1,0,0
2,97,0,1,0,0,0,6,1,0,0
2,98,3,1,0,0,0,6,1,0,0
2,99,4,1,0,0,0,6,1,0,0
2,100,0,2,0,0,0,1,1,0,0
2,101,0,2,0,0,0,6,1,0,0
2,102,0,1,0,0,0,2,1,0,0
2,103,1,2,0,0,1,15,1,0,0
2,104,3,2,0,0,0,6,1,0,0
2,105,4,2,0,0,0,6,1,0,0
2,106,0,1,0,0,0,1,1,0,0
2,107,3,2,0,0,0,6,1,0,0
2,108,1,1,0,0,1,3,1,0,0
2,109,3,1,0,0,0,6,1,0,0
2,110,0,2,0,0,0,1,1,0,0
2,111,0,1,0,0,0,6,1,0,0
2,112,1,2,0,0,2,15,1,0,0
2,113,0,1,0,0,0,1,1,0,0
2,114,1,1,0,0,1,15,1,0,0
2,115,3,2,0,0,0,6,1,0,0
2,116,0,1,0,0,0,6,1,0,0
2,117,1,1,0,2,1,13,1,0,0
2,118,0,1,0,0,0,6,1,0,0
2,119,1,1,0,2,2,13,1,0,0
2,120,3,1,0,0,0,6,1,0,0
2,121,0,2,0,0,0,2,1,0,0
2,122,1,1,1,2,1,13,1,0,0
2,123,7,2,0,0,0,6,1,0,0
2,124,3,1,0,0,0,6,1,0,0
2,125,0,2,0,0,0,1,1,0,0
2,126,0,2,0,0,0,6,1,0,0
2,127,0,1,0,0,0,2,1,0,0
2,128,3,2,0,0,0,6,1,0,0
2,129,1,1,0,1,1,3,1,0,0
2,130,3,1,0,0,0,6,1,0,0
2,131,0,2,0,0,0,1,1,0,0
2,132,0,1,0,0,0,2,1,0,0
2,133,3,2,0,0,0,6,1,0,0
2,134,1,2,0,1,1,3,1,0,0
2,135,0,2,0,0,0,6,1,0,0
2,136,1,2,0,0,1,15,1,0,0
2,137,1,2,0,3,1,13,1,0,0
3,1,0,2,0,0,0,2,0,0,1
3,2,0,2,0,0,0,1,0,0,1
3,3,3,1,0,0,0,6,0,0,1
3,4,0,2,0,0,0,1,0,0,1
3,5,3,1,0,0,0,6,0,0,1
3,6,1,2,0,1,1,15,0,0,1
3,7,0,1,0,0,0,1,0,0,1
3,8,0,2,0,0,0,2,0,0,1
3,9,3,1,0,0,0,6,0,0,1
3,10,1,2,0,2,2,13,0,0,1
3,11,1,2,0,1,1,3,0,0,1
3,12,0,2,0,0,0,1,0,0,1
3,13,3,1,0,0,0,6,0,0,1
3,14,3,2,0,0,0,6,0,0,1
3,15,0,1,0,0,0,1,0,0,1
3,16,1,1,0,3,2,15,0,0,1
3,17,0,1,0,0,0,6,0,0,1
3,18,0,2,0,0,0,1,0,0,1
3,19,3,1,0,0,0,6,0,0,1
3,20,0,2,0,0,0,6,0,0,1
3,21,0,2,0,0,0,2,0,0,1
3,22,3,1,0,0,0,6,0,0,1
3,23,0,2,0,0,0,6,0,0,1
3,24,3,2,0,0,0,6,0,0,1
3,25,0,1,0,0,0,2,0,0,1
3,26,4,2,0,0,0,6,0,0,1
3,27,1,1,0,2,2,3,0,0,1
